Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
PS2,2004.0,Racing,Sony Computer Entertainment,11.66,89.0,74.0,8.5,272.0,E
Wii,2007.0,Platform,Nintendo,11.35,97.0,73.0,8.9,2147.0,E
X360,2008.0,Action,Take-Two Interactive,11.01,98.0,86.0,7.9,2951.0,M
PS,1997.0,Racing,Sony Computer Entertainment,10.95,96.0,16.0,8.7,138.0,E
3DS,2011.0,Platform,Nintendo,10.81,90.0,82.0,8.4,921.0,E
PS3,2010.0,Racing,Sony Computer Entertainment,10.7,84.0,82.0,7.5,1112.0,E
PS3,2009.0,Shooter,Activision,10.6,94.0,67.0,6.3,2073.0,M
PS3,2008.0,Action,Take-Two Interactive,10.5,98.0,64.0,7.5,2833.0,M
X360,2013.0,Shooter,Activision,10.25,73.0,29.0,2.6,2117.0,M
Wii,2011.0,Misc,Ubisoft,10.12,74.0,15.0,7.8,16.0,E10+
3DS,2012.0,Platform,Nintendo,9.9,78.0,70.0,7.2,424.0,E
X360,2010.0,Shooter,Microsoft Game Studios,9.86,91.0,99.0,7.9,2045.0,M
PS,1997.0,Role-Playing,Sony Computer Entertainment,9.72,92.0,20.0,9.2,1282.0,T
X360,2012.0,Shooter,Microsoft Game Studios,9.71,87.0,87.0,7,3260.0,M
PS,1999.0,Racing,Sony Computer Entertainment,9.49,93.0,23.0,9,135.0,T
Wii,2010.0,Misc,Ubisoft,9.44,74.0,24.0,7.3,24.0,E10+
PS3,2013.0,Shooter,Activision,9.36,71.0,10.0,2.6,1047.0,M
X360,2007.0,Shooter,Activision,9.31,94.0,70.0,8.4,1320.0,M
3DS,2012.0,Simulation,Nintendo,9.16,88.0,70.0,8.7,626.0,E
DS,2007.0,Misc,Nintendo,8.91,72.0,27.0,7.8,85.0,E
X360,2011.0,Role-Playing,Bethesda Softworks,8.79,96.0,89.0,8.4,3589.0,M
PS4,2015.0,Sports,Electronic Arts,8.57,82.0,42.0,4.3,896.0,E
XB,2004.0,Shooter,Microsoft Game Studios,8.49,95.0,91.0,8.2,1218.0,M
Wii,2010.0,Misc,Nintendo,8.38,68.0,42.0,7.4,54.0,E
Wii,2007.0,Misc,Nintendo,8.27,62.0,41.0,6.3,190.0,E
PS3,2012.0,Action,Electronic Arts,8.16,88.0,37.0,6.6,348.0,E
PS2,2001.0,Role-Playing,Sony Computer Entertainment,8.05,92.0,53.0,8.7,1056.0,T
PC,2009.0,Simulation,Electronic Arts,8.01,86.0,75.0,7.6,886.0,T
PS,1999.0,Role-Playing,SquareSoft,7.86,90.0,24.0,8.6,644.0,T
DS,2008.0,Role-Playing,Nintendo,7.72,83.0,46.0,8.5,203.0,E
PSP,2005.0,Action,Take-Two Interactive,7.69,88.0,65.0,7.6,451.0,M
PS4,2014.0,Shooter,Activision,7.66,83.0,39.0,5.7,1443.0,M
PS4,2016.0,Sports,Electronic Arts,7.59,85.0,41.0,5,398.0,E
Wii,2010.0,Platform,Nintendo,7.51,97.0,87.0,9.1,1854.0,E
X360,2008.0,Shooter,Activision,7.38,84.0,84.0,7.6,580.0,M
X360,2011.0,Shooter,Electronic Arts,7.32,84.0,57.0,7.4,2142.0,M
PS2,2003.0,Racing,Electronic Arts,7.2,85.0,33.0,8.6,171.0,E
Wii,2009.0,Misc,Ubisoft,7.2,49.0,21.0,8,110.0,E10+
PS3,2011.0,Shooter,Electronic Arts,7.17,85.0,38.0,7.5,1761.0,M
PS4,2015.0,Role-Playing,Bethesda Softworks,7.16,87.0,58.0,6.5,4228.0,M
PS,1998.0,Fighting,Sony Computer Entertainment,7.16,96.0,15.0,9.1,367.0,T
Wii,2006.0,Action,Nintendo,7.15,95.0,73.0,9,1658.0,T
PS,1998.0,Platform,Sony Computer Entertainment,7.13,91.0,12.0,8.9,432.0,E
WiiU,2014.0,Racing,Nintendo,7.09,88.0,82.0,9.1,1599.0,E
GC,2001.0,Fighting,Nintendo,7.07,92.0,38.0,9.1,568.0,T
PS2,2004.0,Racing,Electronic Arts,6.9,82.0,39.0,8.6,132.0,E
PS2,2002.0,Shooter,Electronic Arts,6.83,88.0,29.0,8.5,135.0,T
Wii,2012.0,Misc,Ubisoft,6.76,74.0,10.0,7.3,28.0,E10+
X360,2008.0,Shooter,Microsoft Game Studios,6.75,93.0,90.0,7.7,2739.0,M
PS3,2011.0,Action,Sony Computer Entertainment,6.74,92.0,97.0,8.3,3712.0,T
PS3,2007.0,Shooter,Activision,6.68,94.0,44.0,8.4,993.0,M
PS3,2009.0,Action,Sony Computer Entertainment,6.66,96.0,105.0,8.8,5187.0,T
DS,2005.0,Misc,Nintendo,6.62,74.0,45.0,7.4,27.0,E
PS3,2010.0,Action,Take-Two Interactive,6.49,95.0,73.0,8.8,2456.0,M
PS3,2013.0,Sports,Electronic Arts,6.47,86.0,37.0,4.3,576.0,E
PS3,2012.0,Action,Ubisoft,6.45,85.0,41.0,6.9,1307.0,M
Wii,2010.0,Platform,Nintendo,6.44,87.0,77.0,8.6,368.0,E
XB,2001.0,Shooter,Microsoft Game Studios,6.43,97.0,68.0,8.6,1283.0,M
PS3,2011.0,Role-Playing,Bethesda Softworks,6.41,92.0,16.0,6.4,2527.0,M
GBA,2004.0,Role-Playing,Nintendo,6.41,76.0,28.0,9,222.0,E
PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,85.0,46.0,8.8,597.0,E
X360,2009.0,Shooter,Microsoft Game Studios,6.34,83.0,94.0,7.1,1163.0,M
X360,2010.0,Action,Take-Two Interactive,6.32,95.0,96.0,9,2316.0,M
GC,2002.0,Platform,Nintendo,6.31,92.0,61.0,8.6,439.0,E
PC,2004.0,Role-Playing,Activision,6.29,93.0,57.0,7.3,2182.0,T
PS,1999.0,Action,GT Interactive,6.27,87.0,22.0,8.1,78.0,T
X360,2011.0,Shooter,Microsoft Game Studios,6.21,91.0,96.0,7.8,1504.0,M
X360,2010.0,Sports,Microsoft Game Studios,6.19,73.0,51.0,7.4,95.0,E10+
X360,2006.0,Shooter,Microsoft Game Studios,6.09,94.0,88.0,8.3,2295.0,M
PS4,2014.0,Sports,Electronic Arts,6.08,82.0,47.0,5.7,988.0,E
PS2,2001.0,Action,Konami Digital Entertainment,6.05,96.0,42.0,8.7,1026.0,M
PS,1998.0,Action,Konami Digital Entertainment,6.03,94.0,20.0,9.4,918.0,M
PS3,2008.0,Action,Konami Digital Entertainment,5.99,94.0,82.0,8.7,3558.0,M
PS2,2006.0,Role-Playing,Square Enix,5.95,92.0,64.0,7.6,972.0,T
PS3,2013.0,Action,Sony Computer Entertainment Europe,5.87,95.0,98.0,9.1,8003.0,M
PS3,2008.0,Platform,Sony Computer Entertainment,5.82,95.0,85.0,6.8,5311.0,E
PS,1998.0,Action,Virgin Interactive,5.82,89.0,13.0,9.2,364.0,M
DS,2009.0,Role-Playing,Nintendo,5.78,87.0,65.0,8.8,197.0,E10+
PS,1996.0,Fighting,Sony Computer Entertainment,5.74,89.0,8.0,8.9,102.0,T
PS4,2014.0,Shooter,Activision,5.64,76.0,95.0,6.1,5380.0,T
Wii,2007.0,Action,LucasArts,5.64,80.0,17.0,8.9,62.0,E10+
DS,2006.0,Simulation,505 Games,5.63,67.0,35.0,7.2,21.0,E
PS3,2009.0,Action,Ubisoft,5.55,91.0,70.0,8.6,1202.0,M
X360,2007.0,Adventure,Ubisoft,5.54,81.0,77.0,7.7,1074.0,M
X360,2009.0,Racing,Microsoft Game Studios,5.49,92.0,90.0,8,516.0,E
GBA,2001.0,Platform,Nintendo,5.49,84.0,19.0,7.8,41.0,E
PSP,2008.0,Role-Playing,Capcom,5.48,81.0,48.0,8.7,124.0,T
PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.48,96.0,42.0,8.6,2162.0,T
XOne,2014.0,Action,Take-Two Interactive,5.48,97.0,14.0,7.9,764.0,M
GBA,2001.0,Racing,Nintendo,5.47,93.0,24.0,8.3,108.0,E
PS2,2001.0,Platform,Universal Interactive,5.42,66.0,22.0,7.1,156.0,E
PS3,2008.0,Shooter,Activision,5.39,85.0,45.0,7.6,409.0,M
PS4,2016.0,Shooter,Sony Computer Entertainment,5.38,93.0,113.0,7.9,7064.0,T
PS3,2009.0,Role-Playing,Square Enix,5.33,83.0,83.0,7.3,2483.0,T
PS,2000.0,Role-Playing,SquareSoft,5.3,94.0,22.0,8.9,779.0,T
X360,2012.0,Action,Ubisoft,5.29,84.0,61.0,6.7,1196.0,M
PS2,2003.0,Role-Playing,Electronic Arts,5.29,85.0,45.0,6.6,400.0,T
XOne,2014.0,Shooter,Activision,5.27,81.0,53.0,5.4,898.0,M
X360,2009.0,Action,Ubisoft,5.26,90.0,82.0,8.8,1305.0,M
WiiU,2012.0,Platform,Nintendo,5.22,84.0,70.0,8.1,733.0,E
PS2,2004.0,Role-Playing,Square Enix,5.21,89.0,63.0,8.8,245.0,T
DS,2007.0,Puzzle,Nintendo,5.19,85.0,72.0,8.6,147.0,E
X360,2012.0,Action,Electronic Arts,5.16,90.0,48.0,6.1,403.0,E
PC,2012.0,Role-Playing,Activision,5.14,88.0,86.0,4,9629.0,M
PS2,2003.0,Shooter,Electronic Arts,5.13,68.0,30.0,7.6,100.0,T
PS2,2006.0,Misc,RedOctane,5.12,92.0,69.0,8.5,112.0,T
X360,2010.0,Role-Playing,Microsoft Game Studios,5.1,80.0,88.0,6.5,604.0,M
PS3,2009.0,Action,Capcom,5.09,84.0,76.0,7.5,667.0,M
DS,2007.0,Action,Nintendo,5.08,90.0,57.0,8,416.0,E
PS3,2010.0,Sports,Electronic Arts,5.07,89.0,51.0,8,233.0,E
PS,1996.0,Action,Virgin Interactive,5.05,91.0,8.0,9,266.0,M
PSP,2006.0,Action,Take-Two Interactive,5.03,86.0,50.0,8,150.0,M
PS,1999.0,Sports,Activision,5.02,92.0,18.0,9.2,69.0,T
PS2,2007.0,Misc,Activision,4.98,82.0,24.0,8.2,46.0,T
Wii,2007.0,Shooter,Nintendo,4.98,68.0,34.0,7.1,47.0,T
X360,2008.0,Role-Playing,Bethesda Softworks,4.93,93.0,84.0,8.5,1655.0,M
PS3,2007.0,Action,Sony Computer Entertainment,4.92,88.0,66.0,8.1,2306.0,T
PS2,2005.0,Sports,Electronic Arts,4.91,88.0,29.0,8,121.0,E
PC,2010.0,Strategy,Activision,4.84,93.0,82.0,8.2,3052.0,T
PS3,2007.0,Adventure,Ubisoft,4.82,81.0,40.0,7.3,769.0,M
PS3,2010.0,Action,Sony Computer Entertainment,4.8,92.0,101.0,8.7,2633.0,M
PS,1999.0,Racing,Sony Computer Entertainment,4.79,88.0,20.0,9,233.0,E
DS,2007.0,Action,LucasArts,4.76,80.0,9.0,5.4,46.0,E
PS,2000.0,Action,Atari,4.73,62.0,14.0,7.7,92.0,T
X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.73,94.0,87.0,8.7,1472.0,T
PS,2000.0,Sports,Activision,4.68,98.0,19.0,7.7,299.0,T
PS2,2002.0,Action,Electronic Arts,4.67,82.0,32.0,8.2,78.0,T
PS,1996.0,Action,Eidos Interactive,4.63,91.0,13.0,8.6,147.0,T
Wii,2008.0,Simulation,Nintendo,4.62,73.0,50.0,7.6,119.0,E
PS4,2015.0,Action,Sony Computer Entertainment,4.62,86.0,78.0,8.1,1264.0,T
GC,2002.0,Action,Nintendo,4.6,96.0,80.0,8.9,968.0,E
Wii,2007.0,Misc,Activision,4.6,86.0,36.0,8.4,87.0,T
3DS,2013.0,Action,Nintendo,4.59,86.0,74.0,8.4,458.0,E
X360,2011.0,Racing,Microsoft Game Studios,4.57,91.0,83.0,8.2,617.0,E
PS2,2004.0,Sports,Electronic Arts,4.53,91.0,30.0,7.9,78.0,E
X360,2007.0,Misc,Activision,4.53,85.0,69.0,7.9,165.0,T
PS2,2006.0,Sports,Electronic Arts,4.49,84.0,29.0,8.2,39.0,E
XOne,2015.0,Shooter,Microsoft Game Studios,4.48,84.0,101.0,6.4,2438.0,T
PS2,2002.0,Action,Activision,4.48,76.0,25.0,7.9,41.0,E
PS4,2016.0,Shooter,Activision,4.46,77.0,82.0,3.4,1129.0,M
PS2,2005.0,Action,Sony Computer Entertainment,4.45,94.0,75.0,8.9,997.0,M
WiiU,2015.0,Shooter,Nintendo,4.43,81.0,88.0,8.5,1184.0,E10+
WiiU,2012.0,Misc,Nintendo,4.42,77.0,61.0,7.9,471.0,E10+
PS2,2001.0,Sports,Activision,4.41,97.0,34.0,7.5,298.0,T
PS2,2006.0,Sports,Konami Digital Entertainment,4.39,86.0,19.0,8.9,33.0,E
X360,2006.0,Role-Playing,Take-Two Interactive,4.38,94.0,90.0,8.7,1109.0,M
PS2,2005.0,Racing,Electronic Arts,4.37,82.0,36.0,9.1,137.0,T
Wii,2010.0,Misc,Ubisoft,4.36,56.0,37.0,8.3,31.0,E10+
PS3,2006.0,Shooter,Sony Computer Entertainment,4.34,86.0,70.0,8.1,715.0,M
PS2,2005.0,Role-Playing,Square Enix,4.33,87.0,64.0,9,766.0,E10+
WiiU,2013.0,Platform,Nintendo,4.32,93.0,83.0,9,1607.0,E
X360,2008.0,Role-Playing,Microsoft Game Studios,4.27,89.0,95.0,6.5,2423.0,M
GBA,2001.0,Misc,Namco Bandai Games,4.24,79.0,10.0,7.3,6.0,E
PS3,2009.0,Action,Eidos Interactive,4.23,91.0,70.0,8.9,1122.0,T
PS2,2004.0,Action,Konami Digital Entertainment,4.23,91.0,68.0,9.3,955.0,M
PS3,2011.0,Action,Ubisoft,4.22,80.0,39.0,7.5,613.0,M
XOne,2015.0,Role-Playing,Bethesda Softworks,4.22,88.0,39.0,6.2,1749.0,M
X360,2013.0,Sports,Electronic Arts,4.22,84.0,41.0,4.2,435.0,E
PSP,2006.0,Platform,Sony Computer Entertainment,4.21,85.0,59.0,8.7,109.0,E10+
PS2,2005.0,Sports,Electronic Arts,4.21,80.0,32.0,7.8,47.0,E
PS2,2003.0,Misc,Sony Computer Entertainment,4.2,80.0,32.0,7.5,22.0,E
PS3,2007.0,Racing,Sony Computer Entertainment,4.19,80.0,67.0,7.1,120.0,E
X360,2011.0,Action,Ubisoft,4.19,80.0,77.0,7.2,564.0,M
PS3,2009.0,Fighting,Capcom,4.16,94.0,61.0,7.3,330.0,T
PS2,2002.0,Sports,Electronic Arts,4.14,95.0,25.0,7.7,65.0,E
PC,1997.0,Shooter,Vivendi Games,4.12,96.0,24.0,9.1,3161.0,M
PC,2007.0,Role-Playing,Activision,4.09,91.0,46.0,7.9,785.0,T
PS4,2016.0,Shooter,Electronic Arts,4.08,88.0,31.0,8.4,809.0,M
PS2,2007.0,Action,Sony Computer Entertainment,4.07,93.0,70.0,8.9,709.0,M
X360,2010.0,Role-Playing,Bethesda Softworks,4.05,84.0,81.0,8.1,769.0,M
X360,2007.0,Racing,Microsoft Game Studios,4.05,90.0,66.0,8.3,381.0,E
Wii,2007.0,Misc,Take-Two Interactive,4.05,56.0,27.0,6,44.0,E
PS4,2014.0,Action,Ubisoft,4.05,80.0,80.0,6.3,2996.0,M
PS2,2000.0,Fighting,Namco Bandai Games,4.05,85.0,25.0,8.5,117.0,T
PS4,2014.0,Shooter,Ubisoft,4.04,85.0,83.0,7.7,1653.0,M
X360,2009.0,Shooter,Electronic Arts,3.97,89.0,76.0,8.6,681.0,M
PS4,2015.0,Role-Playing,Namco Bandai Games,3.97,92.0,79.0,9.2,10179.0,M
PS4,2014.0,Action,Ubisoft,3.96,70.0,40.0,4.9,2050.0,M
PS4,2015.0,Action,Warner Bros. Interactive Entertainment,3.95,87.0,89.0,7.6,2679.0,M
Wii,2011.0,Action,Nintendo,3.95,93.0,81.0,8,1958.0,E10+
PS3,2008.0,Role-Playing,Bethesda Softworks,3.94,90.0,57.0,8,910.0,M
DS,2007.0,Puzzle,Nintendo,3.94,84.0,65.0,8.8,72.0,E10+
Wii,2009.0,Sports,Electronic Arts,3.9,81.0,27.0,8.7,39.0,E
PS2,2003.0,Sports,Activision,3.9,90.0,38.0,8.7,121.0,T
3DS,2014.0,Role-Playing,Nintendo,3.89,86.0,80.0,8.7,348.0,T
PC,2011.0,Role-Playing,Bethesda Softworks,3.88,94.0,32.0,8.1,9073.0,M
PS4,2015.0,Sports,Take-Two Interactive,3.88,87.0,51.0,6.7,364.0,E10+
PS2,2005.0,Fighting,Namco Bandai Games,3.87,88.0,62.0,8.6,229.0,T
PS3,2006.0,Racing,Sony Computer Entertainment,3.87,84.0,9.0,7.4,220.0,T
PS2,2004.0,Sports,Konami Digital Entertainment,3.85,91.0,26.0,9.1,38.0,E
PS3,2010.0,Sports,Sony Computer Entertainment,3.84,76.0,64.0,7.9,104.0,E10+
PS4,2013.0,Shooter,Activision,3.83,78.0,49.0,3.7,1564.0,M
DS,2007.0,Misc,Nintendo,3.83,59.0,22.0,4,4.0,E
PS4,2016.0,Shooter,Ubisoft,3.8,80.0,64.0,7,2219.0,M
Wii,2007.0,Misc,Nintendo,3.79,68.0,33.0,6.9,39.0,E
X360,2008.0,Action,Activision,3.76,77.0,60.0,7.5,66.0,E10+
PC,2002.0,Simulation,Electronic Arts,3.76,79.0,21.0,8,29.0,T
PS,2001.0,Action,Electronic Arts,3.73,64.0,11.0,7.5,41.0,E
Wii,2007.0,Platform,Nintendo,3.71,85.0,56.0,7.9,417.0,E
PS,2000.0,Platform,Sony Computer Entertainment,3.71,91.0,15.0,8.8,207.0,E
PS3,2013.0,Action,Ubisoft,3.71,88.0,36.0,8.1,840.0,M
PS2,2004.0,Sports,Electronic Arts,3.7,81.0,27.0,7.6,56.0,E
PS2,2002.0,Sports,Activision,3.67,94.0,27.0,8.5,128.0,T
DS,2007.0,Simulation,Electronic Arts,3.66,67.0,15.0,7.3,13.0,E
PSP,2005.0,Racing,Take-Two Interactive,3.65,74.0,34.0,8.4,31.0,E10+
PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,82.0,42.0,7.9,82.0,M
PS2,2001.0,Platform,Sony Computer Entertainment,3.64,90.0,35.0,8.7,312.0,E
PS2,2007.0,Sports,Konami Digital Entertainment,3.63,82.0,10.0,7.9,38.0,E
PS2,2005.0,Action,Capcom,3.62,96.0,38.0,8.9,1013.0,M
Wii,2008.0,Misc,Activision,3.62,86.0,18.0,7.6,71.0,T
PS3,2009.0,Sports,Electronic Arts,3.62,91.0,56.0,7.6,203.0,E
PS2,2004.0,Shooter,LucasArts,3.61,82.0,36.0,8.7,142.0,T
PS2,2001.0,Racing,Electronic Arts,3.61,64.0,23.0,7.7,32.0,T
GC,2001.0,Action,Nintendo,3.6,78.0,34.0,8.5,161.0,E
PS4,2013.0,Shooter,Electronic Arts,3.59,85.0,18.0,6.9,1580.0,M
PS2,2005.0,Shooter,LucasArts,3.59,84.0,30.0,9,268.0,T
DS,2007.0,Simulation,505 Games,3.58,70.0,39.0,8,9.0,E
PS2,2006.0,Action,Take-Two Interactive,3.54,78.0,49.0,7.8,112.0,M
PS2,2002.0,Action,Sony Computer Entertainment,3.54,72.0,49.0,6.8,88.0,M
PS2,2001.0,Shooter,Electronic Arts,3.53,72.0,27.0,7.9,48.0,T
X360,2010.0,Sports,Electronic Arts,3.52,88.0,66.0,7.5,155.0,E
X360,2008.0,Shooter,Electronic Arts,3.51,89.0,67.0,7.9,1309.0,M
XOne,2014.0,Action,Ubisoft,3.5,72.0,59.0,4.1,1005.0,M
X360,2009.0,Action,Capcom,3.5,83.0,91.0,7.5,523.0,M
X360,2010.0,Action,Ubisoft,3.49,89.0,81.0,8.3,693.0,M
PS3,2013.0,Shooter,Electronic Arts,3.49,80.0,14.0,5.8,579.0,M
X360,2009.0,Action,Eidos Interactive,3.48,92.0,78.0,8.7,1080.0,T
X360,2013.0,Shooter,Electronic Arts,3.48,79.0,21.0,5.6,542.0,M
X360,2010.0,Shooter,Electronic Arts,3.47,88.0,75.0,8.6,869.0,M
DS,2008.0,Misc,Activision,3.46,71.0,70.0,8.8,29.0,E10+
DS,2006.0,Misc,Nintendo,3.45,83.0,30.0,8.4,28.0,E
X360,2009.0,Shooter,Take-Two Interactive,3.44,84.0,83.0,8.2,715.0,M
PS2,2002.0,Fighting,Namco Bandai Games,3.44,79.0,23.0,8.3,126.0,T
PS,1998.0,Action,Take-Two Interactive,3.42,70.0,15.0,8,67.0,T
PS4,2015.0,Action,Konami Digital Entertainment,3.41,93.0,86.0,8.2,3943.0,M
PS2,2004.0,Action,Activision,3.41,80.0,50.0,8.9,106.0,T
PS2,2002.0,Sports,Electronic Arts,3.4,88.0,15.0,6.7,35.0,E
PS3,2011.0,Platform,Sony Computer Entertainment,3.39,91.0,86.0,8.4,657.0,E
PS,2000.0,Misc,Sony Computer Entertainment,3.39,68.0,12.0,8.2,99.0,E
PS4,2015.0,Action,Ubisoft,3.39,76.0,86.0,6.8,1319.0,M
X360,2008.0,Action,Warner Bros. Interactive Entertainment,3.38,76.0,49.0,7.9,75.0,E10+
XOne,2014.0,Shooter,Activision,3.37,75.0,11.0,5.5,1735.0,T
PS3,2012.0,Shooter,Ubisoft,3.35,90.0,32.0,8.5,1041.0,M
PS2,2002.0,Shooter,Electronic Arts,3.33,77.0,20.0,8.5,66.0,T
PS2,2005.0,Action,LucasArts,3.32,60.0,34.0,7.2,82.0,T
DS,2009.0,Action,Nintendo,3.31,87.0,75.0,7.8,228.0,E10+
PS2,2001.0,Shooter,Take-Two Interactive,3.31,80.0,21.0,8.5,86.0,M
X360,2013.0,Action,Ubisoft,3.3,86.0,35.0,7.9,701.0,M
PS2,2003.0,Action,Electronic Arts,3.28,85.0,31.0,8.7,105.0,T
XOne,2015.0,Shooter,Microsoft Game Studios,3.28,82.0,74.0,7.5,563.0,M
PS2,2003.0,Action,Activision,3.27,77.0,39.0,8,94.0,M
DS,2008.0,Puzzle,Nintendo,3.26,86.0,62.0,9.2,111.0,E10+
XOne,2015.0,Sports,Electronic Arts,3.25,84.0,45.0,4.4,459.0,E
Wii,2008.0,Misc,Nintendo,3.25,63.0,43.0,4.6,116.0,E
PS4,2015.0,Sports,Electronic Arts,3.24,83.0,37.0,5.9,180.0,E
PS3,2013.0,Racing,Sony Computer Entertainment,3.23,81.0,81.0,7.7,758.0,E
XOne,2014.0,Shooter,Microsoft Game Studios,3.23,85.0,69.0,7.2,1267.0,M
WiiU,2015.0,Platform,Nintendo,3.21,88.0,85.0,8.7,691.0,E
PSP,2008.0,Action,Sony Computer Entertainment,3.18,91.0,79.0,8.6,565.0,M
PS2,2003.0,Action,Atari,3.18,62.0,30.0,8.1,137.0,T
PSP,2007.0,Role-Playing,Square Enix,3.18,83.0,67.0,8,463.0,T
X360,2010.0,Misc,MTV Games,3.17,82.0,63.0,7.6,85.0,T
PS3,2011.0,Adventure,Take-Two Interactive,3.17,89.0,78.0,7.7,1010.0,M
PS2,2001.0,Simulation,Sony Computer Entertainment Europe,3.17,89.0,22.0,9.1,95.0,E
GC,2001.0,Simulation,Nintendo,3.15,87.0,42.0,8.9,137.0,E
PS2,2007.0,Sports,Electronic Arts,3.14,83.0,12.0,6.5,36.0,E
PS,2000.0,Action,Activision,3.13,87.0,19.0,9,107.0,E
Wii,2012.0,Misc,Nintendo,3.13,73.0,45.0,6.8,155.0,E
DS,2005.0,Platform,Sega,3.12,82.0,43.0,8.5,101.0,E
DS,2008.0,Misc,Nintendo,3.11,83.0,48.0,9,63.0,E
PS3,2010.0,Role-Playing,Bethesda Softworks,3.11,82.0,57.0,7.8,492.0,M
DS,2006.0,Misc,Nintendo,3.11,81.0,12.0,7.8,10.0,E
PS3,2007.0,Role-Playing,Ubisoft,3.1,93.0,45.0,8,604.0,M
3DS,2013.0,Action,Nintendo,3.1,91.0,81.0,8.9,1057.0,E
PS3,2012.0,Shooter,Capcom,3.1,74.0,34.0,5.4,1304.0,M
X360,2010.0,Role-Playing,Electronic Arts,3.1,96.0,98.0,8.9,3143.0,M
PS2,2002.0,Fighting,Atari,3.09,67.0,28.0,7.9,71.0,T
PS2,2001.0,Sports,Electronic Arts,3.08,94.0,23.0,7.9,46.0,E
PC,2002.0,Simulation,Electronic Arts,3.07,75.0,18.0,7.8,22.0,T
3DS,2015.0,Simulation,Nintendo,3.05,66.0,60.0,6.9,106.0,E
PC,2014.0,Simulation,Electronic Arts,3.05,70.0,74.0,3.9,2057.0,T
X360,2012.0,Shooter,Take-Two Interactive,3.05,89.0,59.0,8.2,892.0,M
DS,2008.0,Action,Warner Bros. Interactive Entertainment,3.05,72.0,16.0,8,16.0,E10+
X360,2008.0,Action,Activision,3.04,75.0,42.0,7.4,32.0,E10+
X360,2012.0,Role-Playing,Electronic Arts,3.04,93.0,74.0,5.8,3725.0,M
PS3,2010.0,Adventure,Sony Computer Entertainment,3.03,87.0,107.0,7.7,2759.0,M
X360,2008.0,Action,THQ,3.03,81.0,75.0,8.1,307.0,M
XB,2002.0,Action,Ubisoft,3.02,93.0,46.0,8.5,121.0,T
PS4,2013.0,Sports,Electronic Arts,3.01,87.0,26.0,6.3,616.0,E
PS3,2009.0,Shooter,Sony Computer Entertainment,3.01,91.0,94.0,8.1,1505.0,M
X360,2012.0,Shooter,Ubisoft,3.0,91.0,39.0,8.6,1247.0,M
